Код,Номер распоряжения,Район,Адрес,Вид ограничения,Производитель работ,Инн подрядчика,Заказчик,Инн заказчика,Дата начала ограничения,Дата окончания ограничения
226791,703 -2015,адмиралтейский,"наб.кан.грибоедова, (четная сторона) от вознесенского пр. до большой подъяческой ул. (этап 1.1)",закрытие одного напр,ооо'инженерная компания',7820031841,ооо 'петербурггаз',7838017541,20.06.2015,21.06.2015
226800,704 -2015,центральный,"наб.обводного кан., от днепропетровской ул. до лиговского пр.",огранич.движения,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,05.06.2015,17.06.2015
226826,685 -2015,невский,"ул.бабушкина, у д.121 от ул.чернова до тихой ул. (этап 3)",огранич.движения,ооо 'ипс-2',7840466544,оао ск 'ипс',7805205211,06.06.2015,07.06.2015
226852,710 -2015,центральный,"воскресенская наб., от литейного пр. до водопроводного пер.",огранич.движения,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,10.06.2015,26.06.2015
226853,711 -2015,центральный,"воскресенская наб., от пр.чернышевского до литейного пр.",огранич.движения,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,20.06.2015,21.06.2015
226855,712 -2015,центральный,"воскресенская наб., у водопроводного пер.",огранич.движения,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,22.06.2015,23.06.2015
226854,693 -2015,московский,"московский пр., (четная сторона) от киевской ул. до наб. обводного канала",огранич.движения,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,01.06.2015,06.06.2015
226856,713 -2015,центральный,"воскресенская наб., от литейного пр. до водопроводного пер.",закрытие одного напр,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,27.06.2015,05.07.2015
226857,694 -2015,московский,"московский пр., г. санкт-петербург, перекресток московского пр. и киевской ул.",огранич.движения,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,03.06.2015,07.06.2015
226858,714 -2015,центральный,"наб.кутузова, от гагаринской ул. до литейного пр.",закрытие одного напр,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,27.06.2015,05.07.2015
226860,715 -2015,центральный,"гагаринская ул., от шпалерной ул. до наб.кутузова",закрытие одного напр,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,27.06.2015,05.07.2015
226859,695 -2015,московский,"киевская ул., в створе московского пр.",полное закрытие дв.,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,07.06.2015,07.06.2015
226862,716 -2015,центральный,"шпалерная ул., от литейного пр. до гагаринской ул.",закрытие одного напр,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,27.06.2015,05.07.2015
226863,696 -2015,московский,"московский пр., (нечетная сторона) от пл. московские ворота до заставской ул.",огранич.движения,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,06.06.2015,08.06.2015
226865,717 -2015,центральный,"водопроводный пер., от воскресенской наб. до шпалерной ул.",закрытие одного напр,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,04.07.2015,05.07.2015
226866,718 -2015,центральный,"потёмкинская ул., в створе воскресенской наб.",полное закрытие дв.,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,04.07.2015,05.07.2015
